Product_Name,Price,Rating,Review Count,URL,ASIN
"POLESTAR Vintage 32 L College/ School/ Office/ Casual/ Travel Backpack with 15.6"" laptop compartment, suitable for both men & women,1 year warranty ",545,4.0 out of 5 stars,"7,119",https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A05614932L1K6G83OXJT7&url=%2FPOLESTAR-Vintage-Laptop-Backpack-bagpack%2Fdp%2FB081GSQ9D9%2Fref%3Dsr_1_18_sspa%3Fkeywords%3Dbags%26qid%3D1665173356%26qu%3DeyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%253D%253D%26smid%3DA3HBYWQBT33AGW%26sr%3D8-18-spons%26psc%3D1&qualifier=1665173356&id=8062981558758035&widgetName=sp_atf_next,['B081GSQ9D9']
,,,,,
Martucci Large 35 L Laptop Backpack Spacy Unisex Laptop/College/School/Travel Backpack with Rain Cover and Reflective Strip ,769,4.4 out of 5 stars,162,https://www.amazon.in//Martucci-Backpack-College-Reflective-Airport/dp/B0B7DVC3TL/ref=sr_1_19?keywords=bags&qid=1665173356&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&sr=8-19,['B0B7DVC3TL']
,,,,,
Bagneeds Men's Black Synthetic Leather Briefcase Best Laptop Messenger Bag Satchel for Men ,629,4.1 out of 5 stars,"2,845",https://www.amazon.in//Bagneeds-Synthetic-Leather-Briefcase-Messenger/dp/B0855F8174/ref=sr_1_20?keywords=bags&qid=1665173356&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&sr=8-20,['B0855F8174']
,,,,,
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant) ",348,4.1 out of 5 stars,"4,455",https://www.amazon.in//Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_21?keywords=bags&qid=1665173356&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&sr=8-21,['B088XB5XY8']
,,,,,
"Safari Tribe 35 Ltrs Large Laptop Backpack With 3 Compartments, Water Resistant Fabric - Black (TRIBE19CBBLK) ",999,3.8 out of 5 stars,818,https://www.amazon.in//Safari-Laptop-Backpack-Compartments-Resistant/dp/B09B27S9SG/ref=sr_1_22?keywords=bags&qid=1665173356&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&sr=8-22,['B09B27S9SG']
,,,,,
"POLESTAR Vintage 32 L College/ School/ Office/ Casual/ Travel Backpack with 15.6"" laptop compartment, suitable for both men & women,1 year warranty ",545,4.0 out of 5 stars,"7,119",https://www.amazon.in//POLESTAR-Vintage-Laptop-Backpack-bagpack/dp/B081GSQ9D9/ref=sr_1_23?keywords=bags&qid=1665173356&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&smid=A3HBYWQBT33AGW&sr=8-23,['B081GSQ9D9']
,,,,,
Skybags Brat Black 46 Cms Casual Backpack ,649,4.1 out of 5 stars,"2,185",https://www.amazon.in//Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_24?keywords=bags&qid=1665173356&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&sr=8-24,['B08Z1HHHTD']
,,,,,
Lenovo Casual Laptop Backpack B210 15.6-inch(39.6cm) Water Repellent Black ,789,4.2 out of 5 stars,"48,042",https://www.amazon.in//Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17225/dp/B075Y72PHZ/ref=sr_1_25?keywords=bags&qid=1665173356&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&sr=8-25,['B075Y72PHZ']
,,,,,
Sassie 31 LTR Navy Blue School Bag/Casual Backpack with Laptop Compartment (SSN-1090) ,340,3.7 out of 5 stars,"3,969",https://www.amazon.in//Sassie-Polyester-School-Laptop-Compartment/dp/B07JHWC6WL/ref=sr_1_26?keywords=bags&qid=1665173356&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&sr=8-26,['B07JHWC6WL']
,,,,,
Killer Louis 38L Large Laptop Backpack With 3 Compartments Polyester Trendy Waterproof Travel Backpack ,"1,699",4.4 out of 5 stars,"10,573",https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A02482583O96XK1QK60R9&url=%2FKiller-Backpack-Compartments-Polyester-Waterproof%2Fdp%2FB07BVSSMQT%2Fref%3Dsr_1_27_sspa%3Fkeywords%3Dbags%26qid%3D1665173356%26qu%3DeyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%253D%253D%26smid%3DA20PVHIS8DLHRJ%26sr%3D8-27-spons%26psc%3D1&qualifier=1665173356&id=8062981558758035&widgetName=sp_mtf,['B07BVSSMQT']
,,,,,
"Wenger Quadma ML 16 Inch Laptop Backpack in Blue Camo (22 Litres)-blend of style & function, Swiss designed, 612018 ","1,912", , ,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0308113I2ERJN3YDBYL&url=%2FWenger-Backpack-function-designed-612018%2Fdp%2FB09KV99TS1%2Fref%3Dsr_1_28_sspa%3Fkeywords%3Dbags%26qid%3D1665173356%26qu%3DeyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%253D%253D%26sr%3D8-28-spons%26psc%3D1&qualifier=1665173356&id=8062981558758035&widgetName=sp_mtf,['B09KV99TS1']
,,,,,
F Gear Luxur Brown 25 liter Laptop Backpack (2404) ,899,4.4 out of 5 stars,"15,538",https://www.amazon.in//F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_29?keywords=bags&qid=1665173356&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&sr=8-29,['B01F7AX9ZA']
,,,,,
Fur Jaden Hiking Camping Rucksack Casual 10 Ltrs Blue Casual Backpack ,229,3.6 out of 5 stars,"6,889",https://www.amazon.in//Fur-Jaden-Rucksack-Backpack-BM43_Blue/dp/B07PS38XSP/ref=sr_1_30?keywords=bags&qid=1665173356&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&sr=8-30,['B07PS38XSP']
,,,,,
TRUE HUMAN Anti-Theft and USB Charging Port Backpack with Combination Lock Laptop Bag (Grey) ,699,3.8 out of 5 stars,"1,265",https://www.amazon.in//TRUE-HUMAN-Anti-Theft-charging-combination/dp/B09H7PK5ML/ref=sr_1_31?keywords=bags&qid=1665173356&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&sr=8-31,['B09H7PK5ML']
,,,,,
Artistix Talon Anti-Theft Design Laptop Backpack Bag in Water Resistance With USB Charging Port (46 Cm) (Black) ,850,4.3 out of 5 stars,"2,104",https://www.amazon.in//Artistix-Backpack-Anti-Theft-Charging-Resistance/dp/B082PKX18C/ref=sr_1_32?keywords=bags&qid=1665173356&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&sr=8-32,['B082PKX18C']
,,,,,
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover ,759,3.9 out of 5 stars,"1,115",https://www.amazon.in//Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_33?keywords=bags&qid=1665173356&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&smid=A1UVZJ9N7FK5G6&sr=8-33,['B09VCLZ3K4']
,,,,,
ADISA Laptop Backpack 31 Ltrs ,599,4.0 out of 5 stars,"8,370",https://www.amazon.in//ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_34?keywords=bags&qid=1665173356&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&sr=8-34,['B07G3CG9FC']
,,,,,
"INOVERA Faux Leather Women Handbags Shoulder Hobo Bag Purse With Long Strap, 32L x 13B x 30H cm ","1,399",4.1 out of 5 stars,"5,650",https://www.amazon.in//Inovera-Label-Women-Handbags-Shoulder/dp/B08CMQD4BC/ref=sr_1_35?keywords=bags&qid=1665173356&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&sr=8-35,['B08CMQD4BC']
,,,,,
Gear Classic Anti Theft Faux Leather 18 inch 48 cms Brown Laptop Backpack (LBPCLSLTH0201) ,956,4.4 out of 5 stars,"4,948",https://www.amazon.in//Gear-Classic-Leather-Backpack-LBPCLSLTH0201/dp/B07G4F6XFH/ref=sr_1_36?keywords=bags&qid=1665173356&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&sr=8-36,['B07G4F6XFH']
,,,,,
Victorinox 15 Ltrs Black Bag Organizer (602155) ,"12,560",4.5 out of 5 stars,158,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A07134042ZIYOH5OHV1M&url=%2FVictorinox-Altmont-Professional-Deluxe-Backpack%2Fdp%2FB072F1S1NC%2Fref%3Dsr_1_37_sspa%3Fkeywords%3Dbags%26qid%3D1665173356%26qu%3DeyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%253D%253D%26sr%3D8-37-spons%26psc%3D1&qualifier=1665173356&id=8062981558758035&widgetName=sp_btf,['B072F1S1NC']
,,,,,
"Wenger CRANGO 16 Inch Laptop Backpack with Organizer for essentials, Dedicated patch for a bicycle light in Rust Alps Print (27 Litre)-blend of style & function, Swiss designed, 612030 ","1,691",4.2 out of 5 stars,10,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A03087931NCO49CW75FNX&url=%2FWenger-Multi-Colour-Laptop-Backpack-610194%2Fdp%2FB08MCGYVQ6%2Fref%3Dsr_1_38_sspa%3Fkeywords%3Dbags%26qid%3D1665173356%26qu%3DeyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%253D%253D%26sr%3D8-38-spons%26psc%3D1&qualifier=1665173356&id=8062981558758035&widgetName=sp_btf,['B08MCGYVQ6']
,,,,,
"WENGER MERCURY ESSENTIAL Laptop Backpack Black - 604433, M ","3,500",4.5 out of 5 stars,16,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A0310577MQ4GB3AYRE18&url=%2FWENGER-MERCURY-ESSENTIAL-Laptop-Backpack%2Fdp%2FB07DKJFNX3%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dbags%26qid%3D1665173360%26qu%3DeyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%253D%253D%26sr%3D8-33-spons%26psc%3D1&qualifier=1665173360&id=5965912142456566&widgetName=sp_atf_next,['B07DKJFNX3']
,,,,,
"Wenger CRANGO 16 Inch Laptop Backpack with Organizer for essentials, Dedicated patch for a bicycle light in Rust Alps Print (27 Litre)-blend of style & function, Swiss designed, 612030 ","1,691",4.2 out of 5 stars,10,https://www.amazon.in//gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A03087931NCO49CW75FNX&url=%2FWenger-Multi-Colour-Laptop-Backpack-610194%2Fdp%2FB08MCGYVQ6%2Fref%3Dsr_1_34_sspa%3Fkeywords%3Dbags%26qid%3D1665173360%26qu%3DeyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%253D%253D%26sr%3D8-34-spons%26psc%3D1&qualifier=1665173360&id=5965912142456566&widgetName=sp_atf_next,['B08MCGYVQ6']
,,,,,
Lenovo Slim Everyday Backpack ,599,4.4 out of 5 stars,"1,991",https://www.amazon.in//Lenovo-15-6-Inches-Everyday-Backpack/dp/B08R7RPVJF/ref=sr_1_35?keywords=bags&qid=1665173360&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&sr=8-35,['B08R7RPVJF']
,,,,,
Northzone Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office (Navy Blue) 40L ,601,5.0 out of 5 stars,1,https://www.amazon.in//Northzone-Lightweight-Backpacks-Stylish-College/dp/B0BCYY84QL/ref=sr_1_36?keywords=bags&qid=1665173360&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&sr=8-36,['B0BCYY84QL']
,,,,,
"Polestar Space 34 Liters Casual/ Office/ Travel/ School Backpack Bag, made of Polyester, 1 year warranty ",525,4.0 out of 5 stars,"5,423",https://www.amazon.in//POLESTAR-Navyorg-Casual-bagpack-Backpack/dp/B0844R2GMK/ref=sr_1_37?keywords=bags&qid=1665173360&qu=eyJxc2MiOiI3Ljk5IiwicXNhIjoiNy45NCIsInFzcCI6IjYuNTYifQ%3D%3D&smid=A3HBYWQBT33AGW&sr=8-37,['B0844R2GMK']
,,,,,
